Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
136,Exit long,2013-09-30 15:30,Normal,0.78,18608,15816.8,-1302.56,-8.24,0,0,0.00,-1302.56,-8.24,4515.02,45.15,31
136,Entry long,2013-09-20 16:30,Normal,0.85,18608,15816.8,-1302.56,-8.24,0,0,0.00,-1302.56,-8.24,4515.02,45.15,31
137,Exit long,2013-10-10 15:30,Normal,0.82,18373,14514.67,551.19,3.80,0,551.19,3.80,-183.73,-1.27,5066.21,50.66,4
137,Entry long,2013-10-09 18:30,Normal,0.79,18373,14514.67,551.19,3.80,0,551.19,3.80,-183.73,-1.27,5066.21,50.66,4
138,Exit long,2013-10-18 20:30,Normal,0.89,17518,15065.48,525.54,3.49,0,525.54,3.49,-175.18,-1.16,5591.75,55.92,13
138,Entry long,2013-10-16 15:30,Normal,0.86,17518,15065.48,525.54,3.49,0,525.54,3.49,-175.18,-1.16,5591.75,55.92,13
139,Exit long,2013-10-29 14:30,Normal,0.87,19014,15591.48,950.7,6.10,0,950.7,6.10,0,0.00,6542.45,65.42,10
139,Entry long,2013-10-24 17:30,Normal,0.82,19014,15591.48,950.7,6.10,0,950.7,6.10,0,0.00,6542.45,65.42,10
140,Exit long,2013-11-13 21:30,Normal,0.89,19461,16541.85,778.44,4.71,0,778.44,4.71,0,0.00,7320.89,73.21,10
140,Entry long,2013-11-08 19:30,Normal,0.85,19461,16541.85,778.44,4.71,0,778.44,4.71,0,0.00,7320.89,73.21,10
141,Exit long,2013-11-26 16:30,Normal,0.89,20377,17320.45,815.08,4.71,0,815.08,4.71,0,0.00,8135.97,81.36,10
141,Entry long,2013-11-21 15:30,Normal,0.85,20377,17320.45,815.08,4.71,0,815.08,4.71,0,0.00,8135.97,81.36,10
142,Exit long,2013-12-09 15:30,Normal,0.95,19929,18135.39,797.16,4.40,0,797.16,4.40,-597.87,-3.30,8933.13,89.33,16
142,Entry long,2013-12-03 21:30,Normal,0.91,19929,18135.39,797.16,4.40,0,797.16,4.40,-597.87,-3.30,8933.13,89.33,16
143,Exit long,2014-01-15 15:30,Normal,1.09,18204,18932.16,910.2,4.81,0,910.2,4.81,-1274.28,-6.73,9843.33,98.43,45
143,Entry long,2013-12-31 21:30,Normal,1.04,18204,18932.16,910.2,4.81,0,910.2,4.81,-1274.28,-6.73,9843.33,98.43,45
144,Exit long,2014-02-07 21:30,Normal,1.04,19843,19843,793.72,4.00,0,793.72,4.00,-1587.44,-8.00,10637.05,106.37,51
144,Entry long,2014-01-27 16:30,Normal,1,19843,19843,793.72,4.00,0,793.72,4.00,-1587.44,-8.00,10637.05,106.37,51
145,Exit long,2014-03-05 16:30,Normal,1.27,16778,20636.94,671.12,3.25,0,671.12,3.25,-1174.46,-5.69,11308.17,113.08,37
145,Entry long,2014-02-24 16:30,Normal,1.23,16778,20636.94,671.12,3.25,0,671.12,3.25,-1174.46,-5.69,11308.17,113.08,37
146,Exit long,2014-03-20 17:30,Normal,1.36,16390,21307,983.4,4.62,0,983.4,4.62,-1639,-7.69,12291.57,122.92,33
146,Entry long,2014-03-11 15:30,Normal,1.3,16390,21307,983.4,4.62,0,983.4,4.62,-1639,-7.69,12291.57,122.92,33
147,Exit long,2014-04-01 17:30,Normal,1.41,16390,22290.4,819.5,3.68,0,819.5,3.68,-1475.1,-6.62,13111.07,131.11,32
